weight(1=default),content,style,C
1,130066,10,0.441463
1,117025,10,0.529136
1,296028,10,0.572782
1,230063,10,0.6803
1,238025,10,0.587851
1,108036,10,0.467388
1,69000,10,0.518492
1,306052,10,0.413893
1,8068,10,0.530677
1,14092,10,0.426791
1,243095,9,0.679411
1,160067,9,0.370449
1,232076,9,0.488648
1,33044,9,0.515304
1,41006,9,0.544381
1,181021,9,0.63549
1,247012,9,0.685573
1,372019,9,0.52603
1,71099,9,0.610332
1,189029,9,0.684594
1,107072,2,0.670009
1,100099,2,0.516188
1,100039,2,0.532452
1,23050,2,0.728079
1,317043,2,0.505696
1,41085,2,0.526718
1,223060,2,0.601849
1,179084,2,0.725145
1,285022,2,0.723778
1,196088,2,0.57594
1,253016,3,0.658709
1,159002,3,0.548185
1,43051,3,0.47183
1,61034,3,0.589685
1,107014,3,0.489424
1,230098,3,0.510942
1,267036,3,0.614352
1,344010,3,0.551297
1,45000,3,0.549076
1,103006,3,0.504685
1,41096,6,0.562358
1,49024,6,0.384156
1,250047,6,0.624263
1,20069,6,0.584005
1,123057,6,0.553982
1,141048,6,0.457419
1,279005,6,0.658121
1,35049,6,0.540237
1,156054,6,0.552755
1,102062,6,0.550298
1,48025,1,0.637692
1,201080,1,0.630364
1,48017,1,0.369992
1,120093,1,0.69021
1,146074,1,0.720428
1,198087,1,0.650508
1,101084,1,0.601304
1,109055,1,0.360903
1,376086,1,0.63005
1,235098,1,0.559342
1,107045,8,0.591474
1,51084,8,0.601979
1,147080,8,0.619694
1,268048,8,0.433111
1,140088,8,0.581212
1,226033,8,0.638347
1,217013,8,0.611627
1,134067,8,0.558197
1,103078,8,0.667085
1,388006,8,0.499796
1,393035,5,0.697381
1,189006,5,0.631417
1,69022,5,0.536273
1,104010,5,0.599108
1,296058,5,0.678103
1,208078,5,0.561068
1,207038,5,0.533586
1,41029,5,0.621146
1,145059,5,0.615514
1,289011,5,0.574592
1,103029,4,0.499755
1,368037,4,0.604026
1,223004,4,0.669417
1,217090,4,0.641109
1,118031,4,0.60092
1,164046,4,0.531032
1,385022,4,0.606005
1,5096,4,0.593777
1,16068,4,0.445882
1,77062,4,0.609433
1,97010,7,0.668517
1,15062,7,0.532996
1,108004,7,0.489392
1,78098,7,0.594198
1,183066,7,0.600548
1,185092,7,0.731607
1,253092,7,0.653188
1,159022,7,0.4623
1,202000,7,0.537429
1,384089,7,0.614696
