style,content,weight,E1,E2,E3,E4,E5
3,344010,default,-0.5354498238755697,-0.5377660393573626,-2.5414724543257305,-4.486872913172092,-5.455031309208191
6,49024,default,-0.5045176651121491,-0.4018932064738353,-2.5888233664205678,-4.817946469338467,-5.632759883220882
5,104010,default,0.1279576315464701,-0.2995536286563404,-2.3432086921333344,-4.329844108025252,-5.601042035724448
1,201080,default,-0.6514817749222211,-0.3898607809102882,-2.3858006028961904,-4.301606032194678,-5.615926895714133
7,78098,default,0.47320599814987496,0.012193194886791048,-2.0851553537520426,-4.150910182759439,-5.076939265405859
10,14092,default,-1.889652442494051,-1.3733959269700162,-3.017954845469908,-5.1735657110599185,-6.337748097783265
2,23050,default,0.3487404468853996,-0.09179998570880599,-2.2964445595652823,-4.233893729661518,-5.2754014910037785
5,208078,default,0.3500766811529376,-0.2807973325401214,-2.288930005256971,-4.3201838519189915,-5.665837348352817
10,130066,default,-1.7002421942991957,-1.2681640166473929,-2.888765792777594,-4.94106172523298,-6.000270730399235
1,101084,default,-0.5506611652189298,-0.11262283061130152,-2.237527574794383,-4.241729602245083,-5.683195395165551
1,120093,default,-0.6511560121242203,-0.10218687823570682,-2.176765867606312,-4.236316274689227,-5.582719942464024
1,48017,default,-0.41194268329168204,0.0349201900949172,-2.197597315045743,-4.262319397060791,-5.547254560285539
8,147080,default,0.5169625823835813,-0.056792796276717517,-2.277045580062841,-4.3576162516712325,-5.506706858083451
5,207038,default,0.14791831947919687,-0.2770550988599165,-2.392293017797649,-4.329586366234684,-5.7385302048581845
1,198087,default,-0.32890092772845503,0.02705179435839089,-2.1403704444897143,-4.14887948774409,-5.527544551644873
1,146074,default,-0.6516306370873236,-0.09988348768745081,-2.1640226271062204,-4.136458446502682,-5.441348243332212
1,48025,default,-0.6524277048092063,-0.1897466722278247,-2.2009568349523723,-4.139485600629202,-5.3637916464712
4,385022,default,-1.178222750922541,-1.1319847002107615,-3.0079790547882803,-4.932982303718556,-5.694378264323194
