content_style_image_pair_index,start_time_in_ms,end_time_in_ms,duration_in_ms
1,1620657813548,1620657816921,3373
2,1620657816921,1620657818810,1889
3,1620657818810,1620657820699,1889
4,1620657820699,1620657822619,1920
5,1620657822619,1620657824513,1894
6,1620657824514,1620657826395,1881
7,1620657826395,1620657828282,1887
8,1620657828283,1620657830191,1908
9,1620657830191,1620657832091,1900
10,1620657832091,1620657833971,1880
11,1620657833971,1620657835873,1902
12,1620657835874,1620657837762,1888
13,1620657837763,1620657839681,1918
14,1620657839682,1620657841560,1878
15,1620657841560,1620657843469,1909
16,1620657843470,1620657845354,1884
17,1620657845354,1620657847272,1918
18,1620657847273,1620657849176,1903
19,1620657849176,1620657851091,1915
20,1620657851091,1620657852989,1898
21,1620657852990,1620657854908,1918
22,1620657854908,1620657856812,1904
23,1620657856813,1620657858726,1913
24,1620657858726,1620657860638,1912
25,1620657860639,1620657862518,1879
26,1620657862518,1620657864385,1867
27,1620657864386,1620657866273,1887
28,1620657866273,1620657868150,1877
29,1620657868150,1620657870044,1894
30,1620657870044,1620657871950,1906
31,1620657871950,1620657873811,1861
32,1620657873812,1620657875711,1899
33,1620657875712,1620657877590,1878
34,1620657877590,1620657879465,1875
35,1620657879466,1620657881370,1904
36,1620657881371,1620657883247,1876
37,1620657883247,1620657885125,1878
38,1620657885126,1620657887025,1899
39,1620657887026,1620657888918,1892
40,1620657888918,1620657890803,1885
41,1620657890803,1620657892697,1894
42,1620657892697,1620657894617,1920
43,1620657894617,1620657896503,1886
44,1620657896503,1620657898410,1907
45,1620657898410,1620657900305,1895
46,1620657900306,1620657902181,1875
47,1620657902182,1620657904078,1896
48,1620657904078,1620657905976,1898
49,1620657905976,1620657907863,1887
50,1620657907863,1620657909749,1886
51,1620657909750,1620657911621,1871
52,1620657911622,1620657913522,1900
53,1620657913523,1620657915427,1904
54,1620657915427,1620657917333,1906
55,1620657917334,1620657919219,1885
56,1620657919220,1620657921126,1906
57,1620657921127,1620657922993,1866
58,1620657922994,1620657924890,1896
59,1620657924891,1620657926797,1906
60,1620657926797,1620657928720,1923
61,1620657928721,1620657930610,1889
62,1620657930611,1620657932541,1930
63,1620657932542,1620657934435,1893
64,1620657934435,1620657936326,1891
65,1620657936326,1620657938223,1897
66,1620657938224,1620657940109,1885
67,1620657940110,1620657942005,1895
68,1620657942006,1620657943894,1888
69,1620657943894,1620657945801,1907
70,1620657945801,1620657947680,1879
71,1620657947681,1620657949569,1888
72,1620657949570,1620657951455,1885
73,1620657951456,1620657953361,1905
74,1620657953362,1620657955268,1906
75,1620657955269,1620657957187,1918
76,1620657957188,1620657959108,1920
77,1620657959109,1620657961000,1891
78,1620657961001,1620657962884,1883
79,1620657962884,1620657964788,1904
80,1620657964789,1620657966693,1904
81,1620657966694,1620657968582,1888
82,1620657968583,1620657970473,1890
83,1620657970473,1620657972384,1911
84,1620657972385,1620657974281,1896
85,1620657974282,1620657976186,1904
86,1620657976186,1620657978079,1893
87,1620657978080,1620657979982,1902
88,1620657979983,1620657981865,1882
89,1620657981866,1620657983776,1910
90,1620657983777,1620657985668,1891
91,1620657985669,1620657987562,1893
92,1620657987563,1620657989454,1891
93,1620657989455,1620657991341,1886
94,1620657991342,1620657993260,1918
95,1620657993261,1620657995149,1888
96,1620657995150,1620657997051,1901
97,1620657997051,1620657998950,1899
98,1620657998950,1620658000844,1894
99,1620658000844,1620658002718,1874
100,1620658002719,1620658004631,1912
