weight(1=default),content,style,C
1,130066,10,0.660081
1,117025,10,0.803291
1,296028,10,0.843464
1,230063,10,0.843824
1,238025,10,0.839319
1,108036,10,0.581143
1,69000,10,0.743421
1,306052,10,0.518597
1,8068,10,0.848801
1,14092,10,0.675023
1,243095,9,0.818645
1,160067,9,0.702535
1,232076,9,0.601484
1,33044,9,0.608837
1,41006,9,0.660997
1,181021,9,0.760241
1,247012,9,0.8561
1,372019,9,0.770223
1,71099,9,0.663463
1,189029,9,0.781928
1,107072,2,0.841519
1,100099,2,0.841918
1,100039,2,0.654021
1,23050,2,0.837634
1,317043,2,0.666126
1,41085,2,0.72661
1,223060,2,0.702995
1,179084,2,0.814789
1,285022,2,0.752601
1,196088,2,0.710285
1,253016,3,0.807669
1,159002,3,0.816563
1,43051,3,0.74737
1,61034,3,0.730076
1,107014,3,0.705628
1,230098,3,0.77687
1,267036,3,0.712897
1,344010,3,0.809227
1,45000,3,0.527979
1,103006,3,0.701637
1,41096,6,0.759209
1,49024,6,0.641121
1,250047,6,0.786796
1,20069,6,0.720055
1,123057,6,0.788797
1,141048,6,0.726055
1,279005,6,0.84834
1,35049,6,0.718495
1,156054,6,0.805179
1,102062,6,0.60464
1,48025,1,0.72823
1,201080,1,0.885358
1,48017,1,0.409767
1,120093,1,0.811085
1,146074,1,0.858919
1,198087,1,0.889879
1,101084,1,0.842415
1,109055,1,0.488229
1,376086,1,0.830457
1,235098,1,0.782161
1,107045,8,0.681076
1,51084,8,0.889065
1,147080,8,0.844722
1,268048,8,0.670619
1,140088,8,0.75222
1,226033,8,0.872588
1,217013,8,0.830662
1,134067,8,0.79544
1,103078,8,0.731867
1,388006,8,0.772887
1,393035,5,0.762593
1,189006,5,0.780753
1,69022,5,0.566614
1,104010,5,0.609639
1,296058,5,0.762189
1,208078,5,0.713586
1,207038,5,0.560128
1,41029,5,0.793214
1,145059,5,0.760954
1,289011,5,0.652631
1,103029,4,0.836429
1,368037,4,0.799348
1,223004,4,0.871448
1,217090,4,0.829003
1,118031,4,0.621037
1,164046,4,0.831595
1,385022,4,0.719121
1,5096,4,0.791426
1,16068,4,0.51507
1,77062,4,0.772127
1,97010,7,0.838348
1,15062,7,0.754044
1,108004,7,0.788322
1,78098,7,0.687921
1,183066,7,0.818633
1,185092,7,0.873771
1,253092,7,0.732034
1,159022,7,0.634685
1,202000,7,0.653013
1,384089,7,0.83962
