style,content,weight,E1,E2,E3,E4,E5
3,344010,default,-3.4131055230819767,-2.713957183750005,-3.854337110988703,-5.4262427504262165,-5.703264813430375
6,49024,default,-4.164244517470887,-3.5851623179359695,-4.310462325633671,-5.414495297302553,-5.419061702987044
5,104010,default,-6.30554177470576,-3.79264944784497,-5.574970947530267,-6.350965758908439,-6.215552625208237
1,201080,default,-4.593420018244899,-3.3696663025022007,-4.216266177328741,-5.933211776263009,-6.587992633227389
7,78098,default,-3.68223819294347,-2.508290773815501,-4.106740118972493,-6.002175592322129,-5.771290520376439
10,14092,default,-3.7361195482761094,-2.9922924810551588,-3.981453240567566,-5.757499280694943,-6.003831078969981
2,23050,default,-5.302534811396118,-3.941592973929926,-4.67971201035135,-6.392890224629852,-6.573472361580995
5,208078,default,-4.508490069721637,-3.2459405592279498,-5.301088106409907,-6.53325588031393,-6.933196490339771
10,130066,default,-3.9282518908073607,-3.043026866847753,-3.91685371452468,-5.595743835257288,-5.769322126708536
1,101084,default,-4.378864041162672,-3.1359098900625377,-4.698076630050791,-6.175673359999239,-6.290484117473127
1,120093,default,-3.2720904769257984,-2.788757985438262,-4.23653230583879,-6.07599272005648,-6.328933302447551
1,48017,default,-3.096180481203084,-2.6318594730544103,-4.322221844252786,-6.230860324292656,-6.580580438958262
8,147080,default,-4.052323786156193,-3.0764908536458146,-5.048930980067434,-6.522650015045289,-6.889434683732076
5,207038,default,-6.477185307427769,-4.035626775214605,-4.782075937467643,-6.3915435803026535,-6.3858540082428386
1,198087,default,-2.848976192298617,-2.640492600760776,-3.7924753058912835,-5.36149880065824,-6.059902564416557
1,146074,default,-2.648360954973401,-2.41841803076224,-3.9698883469218753,-5.592603560712364,-6.296604212178267
1,48025,default,-3.2624189915685613,-2.6779836893998312,-3.6411373156173754,-5.1038015832441435,-5.465330213483498
4,385022,default,-4.5163525809389755,-3.2566051269023135,-4.470862980893485,-5.952731251005862,-5.733448255532945
1,235098,default,-4.719067286937771,-4.196988717771104,-4.906304894117166,-6.194152927485684,-6.317806306262544
6,41096,default,-3.8159994440914824,-2.876943085309393,-3.723286607467892,-5.269220257712739,-5.254280938246209
7,253092,default,-3.6641118626261013,-3.0668252687622526,-4.280013153500957,-5.32920147154398,-5.479486889002988
9,71099,default,-2.9641208118616404,-2.072358265081892,-3.311719068662212,-4.989124250279461,-5.2403272026065695
4,118031,default,-5.843209802428985,-3.5013126175048495,-3.6643369761411275,-5.222950594508203,-5.549742514525978
4,77062,default,-4.54733200417048,-3.122807478471003,-4.452436195876338,-5.68567599605312,-6.035060266976576
9,247012,default,-4.702766183873341,-2.9570962874095423,-4.087854444194104,-5.389656183119734,-5.685280304880523
7,183066,default,-2.797874027655601,-2.7043882455052533,-4.262218783394271,-5.476885011094585,-5.366516949628664
8,388006,default,-4.518335592451934,-3.4445981101556526,-5.243707783514699,-6.8313251220637845,-6.8565458381633535
10,296028,default,-6.671109389537886,-3.803894809140515,-3.8779765702631,-5.672635769271658,-6.154376265112057
10,108036,default,-4.190020719815359,-3.1645329889752305,-4.174191483401422,-6.199028215294772,-6.346306211426868
6,141048,default,-2.943431806155241,-2.7562867176290493,-3.891102449252533,-5.221330201260861,-5.135490206891956
8,107045,default,-4.231594497627468,-2.900394966115785,-4.130592819678129,-5.36998433025799,-5.600908174758751
10,230063,default,-5.405637570126109,-3.5086409161484546,-4.2623291051562,-5.871971788741628,-6.506909663022893
6,20069,default,-2.669880881680796,-2.679886119723124,-3.7057859959824038,-5.293034423896949,-5.395496777213615
6,35049,default,-4.013937010224037,-3.249164190276102,-4.113264040063687,-5.617251439936449,-5.480863504317882
5,69022,default,-4.514893377100801,-3.4388061198340445,-4.941715185312376,-6.395890242017711,-6.349991106360734
3,253016,default,-2.796552255503066,-2.6235088393491153,-3.726316775057227,-5.078973512053974,-5.545740445549712
8,217013,default,-5.034657746906755,-4.056148879474158,-4.7022150504589275,-6.805311419440856,-6.547858777474347
9,33044,default,-3.375309015886759,-3.2008873052107756,-3.771187826894871,-5.111206837870814,-5.296408989671557
3,61034,default,-3.473409540268201,-2.780074336902372,-3.5523063553360403,-5.114777859491383,-5.349234014543269
7,159022,default,-4.880994942150341,-3.4334322889690467,-4.2909702971763775,-5.5238394650486144,-5.637078388803897
3,230098,default,-2.9866568207133484,-2.8705289038082324,-3.8666108488056956,-4.978570764452198,-5.2788077499470445
6,279005,default,-2.8909805399609474,-2.8585110871626984,-3.9001772648420667,-5.317955761381418,-5.2928308177353385
6,102062,default,-2.9950425411334307,-2.4766388394182015,-3.584670763770994,-5.35521000372423,-5.859389275482587
9,41006,default,-3.9929467546894957,-3.1014345348376855,-4.109563157349712,-5.28874421636909,-5.610032594031435
3,159002,default,-3.57914790235008,-3.0991008913288267,-4.046584522199782,-5.3739606922538,-5.401136354745095
5,189006,default,-6.7280596598218265,-3.8882954826566225,-4.87374400365875,-6.694118622050125,-6.731871700200875
9,160067,default,-3.7140005700776246,-2.7997697162062893,-4.019504083374752,-5.177667594644508,-5.682237312877393
7,15062,default,-3.7562244705889496,-2.5551602201548516,-3.8988554083146063,-5.226076980142879,-5.357205476401698
4,217090,default,-6.652342050592309,-4.627584855417671,-4.717042231424956,-6.240695455617837,-6.046216835497078
8,268048,default,-3.3891180551863886,-2.922151196005973,-4.602188048367412,-5.902726150788162,-6.1634344338159055
3,103006,default,-2.972041063999008,-2.534705772835532,-3.8145937951068722,-5.185358371503124,-5.237835334505497
8,226033,default,-3.947859718078364,-2.732708713439276,-5.359982228933092,-6.217245361992796,-6.5258964558840225
7,108004,default,-4.862439951951443,-2.8352254785115,-3.9946138507462354,-5.369388262382591,-5.521943192906361
2,100099,default,-4.935987311402905,-3.691289558075983,-4.366579472324573,-5.496222342891783,-5.754233510120961
10,69000,default,-5.440570936893781,-3.6769359008890747,-4.483443752643514,-6.678034427583722,-6.970230593431293
9,243095,default,-4.42690929651039,-4.153148395520136,-4.319232121045549,-5.80819550484824,-6.060869996932563
9,232076,default,-2.7277651519660515,-3.059189365606534,-4.175662648552716,-5.600111557862813,-5.595391405285423
10,306052,default,-5.726166723139173,-3.9549218152624332,-4.685663554334052,-6.795477029323208,-6.219339426468736
4,16068,default,-3.746451973552322,-2.5220198978082613,-4.198923689568585,-5.503867078035709,-5.803502877678911
4,5096,default,-5.136143136509806,-3.4026785801358734,-3.7554482635694173,-5.231307624291251,-5.875229593435981
5,289011,default,-6.4731172426550305,-3.80007997464857,-4.410192027998224,-6.057971224596929,-5.911784111236409
10,238025,default,-5.7963164108890775,-3.7085098488919765,-4.206435981236559,-5.9711889783646335,-6.37482064444637
8,51084,default,-4.761040645671703,-3.483780499895267,-4.565077486319736,-6.265542254783853,-6.122210337719347
2,317043,default,-5.28154589834652,-3.716419848847192,-4.3176933073009485,-6.075151416552507,-5.856479003235406
6,156054,default,-4.37562005505223,-3.463676559294618,-3.7387411555660757,-5.26042834381598,-5.242871707956977
9,189029,default,-3.9227189708164287,-3.3785425023980657,-4.296988909038422,-5.735150464702673,-6.143844637424763
