content_style_image_pair_index,start_time_in_ms,end_time_in_ms,duration_in_ms
1,1620844527859,1620844527861,2
2,1620844527861,1620844527863,2
3,1620844527863,1620844527865,2
4,1620844527865,1620844527867,2
5,1620844527867,1620844527869,2
6,1620844527869,1620844527871,2
7,1620844527871,1620844527873,2
8,1620844527874,1620844527875,1
9,1620844527875,1620844527877,2
10,1620844527877,1620844527879,2
11,1620844527879,1620844527881,2
12,1620844527881,1620844527882,1
13,1620844527882,1620844527884,2
14,1620844527884,1620844527885,1
15,1620844527886,1620844527887,1
16,1620844527887,1620844527889,2
17,1620844527889,1620844527891,2
18,1620844527891,1620844527892,1
19,1620844527892,1620844527894,2
20,1620844527894,1620844527895,1
21,1620844527895,1620844527897,2
22,1620844527897,1620844527898,1
23,1620844527898,1620844527900,2
24,1620844527900,1620844527901,1
25,1620844527901,1620844527902,1
26,1620844527903,1620844527904,1
27,1620844527904,1620844527906,2
28,1620844527906,1620844527907,1
29,1620844527907,1620844527909,2
30,1620844527909,1620844527910,1
31,1620844527910,1620844527912,2
32,1620844527912,1620844527913,1
33,1620844527913,1620844527915,2
34,1620844527915,1620844527917,2
35,1620844527917,1620844527918,1
36,1620844527918,1620844527919,1
37,1620844527919,1620844527921,2
38,1620844527921,1620844527922,1
39,1620844527922,1620844527924,2
40,1620844527924,1620844527926,2
41,1620844527926,1620844527928,2
42,1620844527928,1620844527929,1
43,1620844527929,1620844527931,2
44,1620844527931,1620844527933,2
45,1620844527933,1620844527935,2
46,1620844527935,1620844527937,2
47,1620844527937,1620844527939,2
48,1620844527939,1620844527940,1
49,1620844527940,1620844527942,2
50,1620844527942,1620844527944,2
51,1620844527944,1620844527945,1
52,1620844527946,1620844527947,1
53,1620844527947,1620844527948,1
54,1620844527948,1620844527950,2
55,1620844527950,1620844527952,2
56,1620844527952,1620844527954,2
57,1620844527954,1620844527956,2
58,1620844527956,1620844527958,2
59,1620844527958,1620844527960,2
60,1620844527960,1620844527961,1
61,1620844527962,1620844527963,1
62,1620844527964,1620844527965,1
63,1620844527965,1620844527967,2
64,1620844527967,1620844527968,1
65,1620844527968,1620844527970,2
66,1620844527970,1620844527972,2
67,1620844527972,1620844527973,1
68,1620844527974,1620844527975,1
69,1620844527975,1620844527977,2
70,1620844527977,1620844527978,1
71,1620844527978,1620844527980,2
72,1620844527980,1620844527982,2
73,1620844527982,1620844527984,2
74,1620844527984,1620844527986,2
75,1620844527986,1620844527987,1
76,1620844527987,1620844527989,2
77,1620844527989,1620844527991,2
78,1620844527991,1620844527992,1
79,1620844527993,1620844527994,1
80,1620844527994,1620844527996,2
81,1620844527997,1620844527998,1
82,1620844527998,1620844528000,2
83,1620844528000,1620844528002,2
84,1620844528002,1620844528004,2
85,1620844528004,1620844528007,3
86,1620844528007,1620844528009,2
87,1620844528009,1620844528011,2
88,1620844528011,1620844528013,2
89,1620844528013,1620844528014,1
90,1620844528014,1620844528016,2
91,1620844528016,1620844528017,1
92,1620844528018,1620844528019,1
93,1620844528019,1620844528021,2
94,1620844528022,1620844528023,1
95,1620844528023,1620844528025,2
96,1620844528025,1620844528027,2
97,1620844528027,1620844528030,3
98,1620844528030,1620844528032,2
99,1620844528032,1620844528034,2
100,1620844528034,1620844528036,2
