weight(1=default),content,style,C
1,130066,10,0.588291
1,117025,10,0.476663
1,296028,10,0.763743
1,230063,10,0.746424
1,238025,10,0.776918
1,108036,10,0.580369
1,69000,10,0.616697
1,306052,10,0.393821
1,8068,10,0.705476
1,14092,10,0.418993
1,243095,9,0.826097
1,160067,9,0.700894
1,232076,9,0.594149
1,33044,9,0.653629
1,41006,9,0.695587
1,181021,9,0.733182
1,247012,9,0.816624
1,372019,9,0.795757
1,71099,9,0.660836
1,189029,9,0.795327
1,107072,2,0.753236
1,100099,2,0.65483
1,100039,2,0.604521
1,23050,2,0.786787
1,317043,2,0.622321
1,41085,2,0.67589
1,223060,2,0.745964
1,179084,2,0.777647
1,285022,2,0.840612
1,196088,2,0.68246
1,253016,3,0.738074
1,159002,3,0.66366
1,43051,3,0.528101
1,61034,3,0.671699
1,107014,3,0.571694
1,230098,3,0.709144
1,267036,3,0.638502
1,344010,3,0.651875
1,45000,3,0.545541
1,103006,3,0.696248
1,41096,6,0.652502
1,49024,6,0.613017
1,250047,6,0.758745
1,20069,6,0.714713
1,123057,6,0.604975
1,141048,6,0.652762
1,279005,6,0.733905
1,35049,6,0.611862
1,156054,6,0.706237
1,102062,6,0.652345
1,48025,1,0.756256
1,201080,1,0.837934
1,48017,1,0.420748
1,120093,1,0.779446
1,146074,1,0.80539
1,198087,1,0.814644
1,101084,1,0.830576
1,109055,1,0.534418
1,376086,1,0.793936
1,235098,1,0.666973
1,107045,8,0.653518
1,51084,8,0.858513
1,147080,8,0.82332
1,268048,8,0.563588
1,140088,8,0.694082
1,226033,8,0.803184
1,217013,8,0.778405
1,134067,8,0.743517
1,103078,8,0.818598
1,388006,8,0.759783
1,393035,5,0.729745
1,189006,5,0.75483
1,69022,5,0.613898
1,104010,5,0.632474
1,296058,5,0.784892
1,208078,5,0.738888
1,207038,5,0.573642
1,41029,5,0.745905
1,145059,5,0.739748
1,289011,5,0.647525
1,103029,4,0.689348
1,368037,4,0.755539
1,223004,4,0.793577
1,217090,4,0.776509
1,118031,4,0.648834
1,164046,4,0.740424
1,385022,4,0.696701
1,5096,4,0.748641
1,16068,4,0.549783
1,77062,4,0.747821
1,97010,7,0.791315
1,15062,7,0.697446
1,108004,7,0.624263
1,78098,7,0.652105
1,183066,7,0.763821
1,185092,7,0.861074
1,253092,7,0.75194
1,159022,7,0.461137
1,202000,7,0.704319
1,384089,7,0.742883
