style,content,weight,E1,E2,E3,E4,E5
3,344010,default,-0.9264540139389817,-1.6267311986355786,-3.1406932849085156,-4.658215896024379,-4.983435683840131
6,49024,default,-0.9326987515384803,-0.9925243108355618,-2.4951317836340112,-4.461506479443349,-5.13560393519241
5,104010,default,-2.7128668289382194,-1.511418413619638,-3.2408578393164955,-4.561721011559568,-5.437262800458836
1,201080,default,-1.422080963710612,-1.4453661217091396,-2.9722425034520352,-4.769970560520819,-5.767316958315033
7,78098,default,-0.3457087041762875,-0.9851237420528812,-3.118667621945848,-4.880723742111716,-5.2000494401505755
10,14092,default,-1.949580229271644,-2.1656123305936337,-3.4231852238547127,-5.046775441312516,-5.633833755562266
2,23050,default,-1.6811107084409382,-1.9982809706549198,-3.5894631645891986,-5.1764701535198006,-5.8532933319486435
5,208078,default,-1.8563778257377295,-1.4437121796341872,-3.0625213233741313,-4.655084436211708,-5.765666129021811
10,130066,default,-1.8361455565536353,-2.1594945471489777,-3.4673083253747397,-5.078023959848459,-5.591230273085979
1,101084,default,-1.1965442915870406,-1.321334815415224,-3.0550063551284894,-4.770116930155647,-5.479994591132753
1,120093,default,-1.571329486915507,-1.506091956887909,-3.1021957374928832,-5.000536477017629,-5.613295691904534
1,48017,default,-1.5831032642599716,-1.6477799342618757,-3.34039244699047,-5.138305367081808,-5.877675466070723
8,147080,default,-0.31177655385473824,-0.4324207365085896,-2.4608967858806743,-4.331586263989731,-5.623804844328941
5,207038,default,-2.8684312005120085,-1.464635809188204,-3.1593979936565098,-4.821975017820229,-5.729930937402507
1,198087,default,-0.7034459218900005,-1.0586997189073153,-2.677898085302838,-4.592619284483715,-5.466680571250868
1,146074,default,-0.9752725576359201,-1.3360066512899844,-2.930586249045435,-4.620780032882309,-5.603786261446771
1,48025,default,-1.0652252824774977,-1.1639213369034587,-2.60659756157385,-4.544418765728754,-5.208973012172393
4,385022,default,-1.1316782908876015,-1.146139751839954,-2.93427742278295,-4.653929736743381,-5.050133151836173
1,235098,default,-0.9870108013607953,-1.6273039094208412,-3.199024387520051,-4.817120250322632,-5.416518886523664
6,41096,default,-0.7910823765829317,-1.3235318671277234,-2.966327922198625,-4.741394892264147,-5.389428296886471
7,253092,default,-0.7602684145120163,-0.8356621535304879,-2.982424135380915,-4.367295738373327,-4.887275003566111
9,71099,default,-1.7465385351609952,-1.2845469249966772,-2.5637480335560485,-4.404018053106776,-4.89354536325711
4,118031,default,-1.822875701374505,-1.2868766396854827,-2.8462083673727063,-4.469958921821822,-5.134225511719021
4,77062,default,-1.2745537017514321,-1.2328862284217763,-2.8563476515613098,-4.559437396173548,-5.143686956139083
9,247012,default,-1.268655663060481,-1.2619368467050753,-2.8931369643006493,-4.582348937200892,-5.385188589686321
7,183066,default,-0.53226927652136,-1.0347554970074642,-3.14335273482779,-4.708797253146625,-4.978921332714044
8,388006,default,-0.3730581168697641,-0.6502341077432158,-2.7420922138413903,-4.326614054525579,-5.504430861892558
10,296028,default,-1.9975143312566592,-2.114552361268822,-3.491697817591775,-5.0351134108590765,-5.79714828687569
10,108036,default,-1.8862879845176947,-2.1848628082715322,-3.437712997890694,-4.9852957257986725,-5.680692177697405
6,141048,default,-1.0800276114338287,-1.3681388053944334,-3.110995485967149,-4.809769988459126,-5.26758595492148
8,107045,default,-0.6932519972848986,-0.3483421864512467,-2.2448653628482513,-3.9537112201303337,-4.943981286161134
10,230063,default,-2.111456112841804,-2.224404382171819,-3.597716001359026,-5.193498481262954,-6.097696930989404
6,20069,default,-0.7482055694061424,-1.3068469331527917,-3.045438816629494,-4.862565495058952,-5.485952652877038
6,35049,default,-1.00801911465987,-1.5462960125618967,-3.299799978717639,-4.96620436995909,-5.34474289915572
5,69022,default,-0.9659544376966535,-1.0900314311733266,-3.1803661099638654,-4.73247080757971,-5.7024034012058955
3,253016,default,-0.896296510817081,-1.7137938810780557,-3.27148159014658,-4.719782714239738,-5.09668779743569
8,217013,default,-0.48782799761334783,-0.8062118984704493,-2.4872028236334294,-4.339463242868376,-5.696880301572148
9,33044,default,-1.5333400202536387,-0.854733284868742,-2.291679477858987,-4.172731127590646,-5.017450163699125
3,61034,default,-1.0525838422612823,-1.6963669032219513,-3.2126411817006018,-4.6031001643403595,-5.005136480607769
7,159022,default,-0.5467225576380258,-0.8775682313843237,-2.722276003307446,-4.474581867761901,-4.931644120514941
3,230098,default,-0.9953953030315784,-1.7220892372678964,-3.233668360629634,-4.737065506106578,-5.080495426190553
6,279005,default,-0.921869620930326,-1.4638339639477884,-3.0566204954748626,-4.826183502127153,-5.484601763398129
6,102062,default,-1.0709236400380173,-1.5134906338304233,-3.031162013196629,-4.876616293364033,-5.612489908587746
9,41006,default,-1.3084518897538229,-0.9613846821812261,-2.6776284074290504,-4.407869263585712,-5.175861153272205
3,159002,default,-0.9161065246357586,-1.6573474646144408,-3.250790037543529,-4.743282130342069,-5.099772602804348
