content_style_image_pair_index,start_time_in_ms,end_time_in_ms,duration_in_ms
1,1620658062599,1620658066404,3805
2,1620658066404,1620658068149,1745
3,1620658068149,1620658069879,1730
4,1620658069879,1620658071634,1755
5,1620658071634,1620658073404,1770
6,1620658073404,1620658075159,1755
7,1620658075159,1620658076881,1722
8,1620658076882,1620658078621,1739
9,1620658078621,1620658080352,1731
10,1620658080352,1620658082100,1748
11,1620658082100,1620658083879,1779
12,1620658083879,1620658085625,1746
13,1620658085626,1620658087396,1770
14,1620658087396,1620658089162,1766
15,1620658089162,1620658090901,1739
16,1620658090901,1620658092631,1730
17,1620658092631,1620658094377,1746
18,1620658094377,1620658096141,1764
19,1620658096141,1620658097864,1723
20,1620658097864,1620658099624,1760
21,1620658099624,1620658101417,1793
22,1620658101417,1620658103183,1766
23,1620658103183,1620658104922,1739
24,1620658104922,1620658106693,1771
25,1620658106693,1620658108459,1766
26,1620658108459,1620658110204,1745
27,1620658110204,1620658111959,1755
28,1620658111959,1620658113709,1750
29,1620658113709,1620658115457,1748
30,1620658115458,1620658117219,1761
31,1620658117219,1620658118995,1776
32,1620658118995,1620658120743,1748
33,1620658120743,1620658122491,1748
34,1620658122491,1620658124244,1753
35,1620658124244,1620658125981,1737
36,1620658125982,1620658127729,1747
37,1620658127729,1620658129500,1771
38,1620658129500,1620658131249,1749
39,1620658131249,1620658133001,1752
40,1620658133001,1620658134765,1764
41,1620658134766,1620658136550,1784
42,1620658136550,1620658138306,1756
43,1620658138307,1620658140054,1747
44,1620658140054,1620658141805,1751
45,1620658141805,1620658143547,1742
46,1620658143547,1620658145298,1751
47,1620658145299,1620658147044,1745
48,1620658147044,1620658148785,1741
49,1620658148785,1620658150553,1768
50,1620658150553,1620658152299,1746
51,1620658152299,1620658154092,1793
52,1620658154092,1620658155829,1737
53,1620658155830,1620658157594,1764
54,1620658157594,1620658159338,1744
55,1620658159338,1620658161101,1763
56,1620658161101,1620658162857,1756
57,1620658162857,1620658164619,1762
58,1620658164619,1620658166380,1761
59,1620658166380,1620658168134,1754
60,1620658168134,1620658169877,1743
61,1620658169878,1620658171659,1781
62,1620658171659,1620658173426,1767
63,1620658173426,1620658175172,1746
64,1620658175172,1620658176912,1740
65,1620658176912,1620658178667,1755
66,1620658178667,1620658180426,1759
67,1620658180426,1620658182179,1753
68,1620658182179,1620658183930,1751
69,1620658183930,1620658185697,1767
70,1620658185697,1620658187452,1755
71,1620658187452,1620658189253,1801
72,1620658189253,1620658191008,1755
73,1620658191009,1620658192755,1746
74,1620658192755,1620658194523,1768
75,1620658194523,1620658196265,1742
76,1620658196266,1620658198017,1751
77,1620658198017,1620658199762,1745
78,1620658199762,1620658201525,1763
79,1620658201525,1620658203295,1770
80,1620658203295,1620658205081,1786
81,1620658205081,1620658206888,1807
82,1620658206888,1620658208648,1760
83,1620658208648,1620658210419,1771
84,1620658210419,1620658212164,1745
85,1620658212164,1620658213918,1754
86,1620658213918,1620658215675,1757
87,1620658215675,1620658217424,1749
88,1620658217425,1620658219171,1746
89,1620658219171,1620658220935,1764
90,1620658220936,1620658222664,1728
91,1620658222664,1620658224440,1776
92,1620658224440,1620658226198,1758
93,1620658226198,1620658227951,1753
94,1620658227951,1620658229687,1736
95,1620658229687,1620658231447,1760
96,1620658231447,1620658233195,1748
97,1620658233196,1620658234949,1753
98,1620658234949,1620658236705,1756
99,1620658236705,1620658238463,1758
100,1620658238463,1620658240198,1735
