weight(1=default),content,style,C
1,130066,10,0.611777
1,117025,10,0.503072
1,296028,10,0.693011
1,230063,10,0.750325
1,238025,10,0.713844
1,108036,10,0.541049
1,69000,10,0.55852
1,306052,10,0.347203
1,8068,10,0.650737
1,14092,10,0.403997
1,243095,9,0.693826
1,160067,9,0.699068
1,232076,9,0.566703
1,33044,9,0.638971
1,41006,9,0.672497
1,181021,9,0.687496
1,247012,9,0.824987
1,372019,9,0.709341
1,71099,9,0.652827
1,189029,9,0.711277
1,107072,2,0.802487
1,100099,2,0.60069
1,100039,2,0.628753
1,23050,2,0.767959
1,317043,2,0.658594
1,41085,2,0.639464
1,223060,2,0.737927
1,179084,2,0.808018
1,285022,2,0.77365
1,196088,2,0.650132
1,253016,3,0.803671
1,159002,3,0.680286
1,43051,3,0.798961
1,61034,3,0.683128
1,107014,3,0.618646
1,230098,3,0.684502
1,267036,3,0.662495
1,344010,3,0.689479
1,45000,3,0.562209
1,103006,3,0.654574
1,41096,6,0.758764
1,49024,6,0.4977
1,250047,6,0.728074
1,20069,6,0.735225
1,123057,6,0.599839
1,141048,6,0.673691
1,279005,6,0.701894
1,35049,6,0.626679
1,156054,6,0.711123
1,102062,6,0.622087
1,48025,1,0.704086
1,201080,1,0.803225
1,48017,1,0.405006
1,120093,1,0.786271
1,146074,1,0.792328
1,198087,1,0.737852
1,101084,1,0.780542
1,109055,1,0.536242
1,376086,1,0.740977
1,235098,1,0.703456
1,107045,8,0.634634
1,51084,8,0.735301
1,147080,8,0.782428
1,268048,8,0.521048
1,140088,8,0.654036
1,226033,8,0.781504
1,217013,8,0.659703
1,134067,8,0.72136
1,103078,8,0.720606
1,388006,8,0.653739
1,393035,5,0.656843
1,189006,5,0.705631
1,69022,5,0.531968
1,104010,5,0.620021
1,296058,5,0.720039
1,208078,5,0.752765
1,207038,5,0.564576
1,41029,5,0.646652
1,145059,5,0.693452
1,289011,5,0.582603
1,103029,4,0.609761
1,368037,4,0.780803
1,223004,4,0.787565
1,217090,4,0.699981
1,118031,4,0.61229
1,164046,4,0.74637
1,385022,4,0.663677
1,5096,4,0.710613
1,16068,4,0.547727
1,77062,4,0.696683
1,97010,7,0.725139
1,15062,7,0.656669
1,108004,7,0.615296
1,78098,7,0.614699
1,183066,7,0.702797
1,185092,7,0.747327
1,253092,7,0.709909
1,159022,7,0.372336
1,202000,7,0.654224
1,384089,7,0.698637
