style,content,weight,E1,E2,E3,E4,E5
3,344010,default,-1.3640875890248445,-0.9261813140726881,-2.647083766716176,-4.207415967884475,-5.102107062390447
6,49024,default,-1.417400703458874,-0.8539064641863107,-2.1848491096273874,-4.107507718635576,-5.190560035598149
5,104010,default,-3.1373862769203518,-1.3264514196428578,-2.243327909440036,-4.022838848562035,-5.1785725278193855
1,201080,default,-2.7042695649599655,-1.3031017279378014,-2.35874024549092,-4.243218581772103,-5.483937943185521
7,78098,default,-1.5704133460812906,-0.49471832111537484,-1.8478224179629015,-3.7353748651906367,-4.914843884449802
10,14092,default,-2.5134861459609303,-1.5771629304598358,-2.8807147315956416,-4.750186554145484,-5.913343981978657
2,23050,default,-2.399052071464215,-1.1278899944800518,-2.58790804491687,-4.348747330390856,-5.365755656326191
5,208078,default,-2.0092196134260667,-0.7491615642143304,-2.0409848612442794,-3.931294407251796,-5.233936807177012
10,130066,default,-2.129978905088824,-1.303042661135866,-2.5979085425234714,-4.574504811208766,-5.674293892040875
1,101084,default,-2.2670936169630296,-0.9149874439889506,-2.3978905863721938,-4.216238632857779,-5.422856377558094
1,120093,default,-2.682447937639319,-1.4028321190779045,-2.4141467433368433,-4.290497117106157,-5.476791845311292
1,48017,default,-2.287140078600907,-1.3851764175851824,-2.6279936196890885,-4.5190490161454555,-5.498282287568386
8,147080,default,-1.1378667118827126,-0.5220498230512082,-2.030531757990313,-3.9504310321526344,-5.365008814129691
5,207038,default,-2.6207283896218554,-0.8519557200208577,-2.1296975622882948,-3.9450938581141717,-5.228691836901357
1,198087,default,-1.694363478065481,-0.6169236600146563,-2.181160337769131,-4.112339774809818,-5.438411244441687
1,146074,default,-2.2764435275153385,-1.0198808120739988,-2.460003343379697,-4.24082277681375,-5.514100841424118
1,48025,default,-1.662530194816782,-0.7438217967541504,-2.101810978456778,-4.047873504454749,-5.138644997028446
4,385022,default,-2.1260630009678687,-1.2416369440741288,-2.619450119871785,-4.34429186939366,-5.059080183700433
1,235098,default,-2.4598056813865408,-1.2823912076546078,-2.394796361087053,-4.182532956549699,-5.337343841395765
6,41096,default,-1.4389704372436953,-0.8841274253889365,-2.185973523809452,-4.194855046446386,-5.203600915900581
7,253092,default,-1.783877693494674,-0.7927127192930489,-2.0570925868949854,-3.732413318611262,-4.758076886642306
9,71099,default,-1.3414320865378264,-0.865341874185756,-2.1008349565045394,-4.00712672811123,-4.908052745440199
4,118031,default,-3.0755353235000205,-1.6234825464638507,-2.7701560867437283,-4.4246348366252946,-5.133514546624636
4,77062,default,-3.215914223575783,-1.6763863940836488,-2.75385585031003,-4.421784978161854,-5.122915523543972
9,247012,default,-1.7201543082814643,-0.7633343163895768,-2.1088734022760653,-4.073071818374012,-4.9590739896798794
7,183066,default,-2.104514602485889,-0.9023381076971874,-1.9479717906616498,-3.7655900703026015,-4.834051392010991
8,388006,default,-1.259166483052844,-0.4363466163160271,-2.1539276425860105,-4.050700953298777,-5.251513280472085
10,296028,default,-2.312626882697061,-1.4940302548168418,-2.7430603029298393,-4.661681534695397,-5.78098800328805
10,108036,default,-2.022038184111317,-1.298831919091954,-2.8045508545814943,-4.747791245297636,-5.839658396113532
6,141048,default,-1.525457997118171,-0.7315415185240576,-2.2301447668874377,-4.126889956904083,-5.172087577219795
8,107045,default,-0.6029101814295782,-0.4864279173223899,-1.9049239265287308,-3.8048808121332485,-4.977861010030448
10,230063,default,-2.2240964431298416,-1.4517533604936843,-2.7388589194441653,-4.68590702003556,-5.887713634315709
6,20069,default,-1.208671993931917,-0.4898007594592241,-2.0591920775308283,-4.112969390936616,-5.1156571522574135
6,35049,default,-1.3374935917378017,-0.6313308144508919,-2.14773331716834,-4.138192347037976,-5.11339339495993
5,69022,default,-1.9066622823820025,-0.8097638283443013,-2.06337631785171,-3.9395586441787662,-5.151449997438767
3,253016,default,-1.181534108929438,-0.8729807296708999,-2.6567162450632935,-4.297414429381196,-5.089290720265656
8,217013,default,-1.1034877317770109,-0.5564136308793329,-2.1657908632429406,-3.9880050225703094,-5.146605665003777
9,33044,default,-2.754143882217458,-1.5137787705969963,-2.293788676123051,-4.1233157361808646,-5.048543939435942
3,61034,default,-1.7733034450733731,-1.1969778929495516,-2.5682386938524164,-4.223769476550563,-5.127475293319101
7,159022,default,-1.6320512388850617,-0.7160150980855683,-2.087283059522657,-3.8151690879245814,-4.843203424675688
3,230098,default,-1.3004853144183235,-0.7587584634756676,-2.5402408980484212,-4.231526143002456,-5.177504322655303
6,279005,default,-1.401612945410852,-0.8670830924925216,-2.2118288077719637,-4.144703035732885,-5.153122322274871
6,102062,default,-1.171347701464958,-0.59792798161687,-2.005941850478226,-4.07971648088926,-5.226846480682839
9,41006,default,-1.8632539353672848,-1.0454055162157156,-2.212649356328714,-4.029384754676563,-4.940689796725959
3,159002,default,-1.5205987878895693,-0.9628529005154988,-2.6523954672872203,-4.3203168997557695,-5.157468261016437
5,189006,default,-2.98670733176667,-1.2727074160720582,-2.1584573566600627,-4.004384215785467,-5.196854438429077
9,160067,default,-1.5689519968601462,-1.1184786780454505,-2.2662482361350844,-4.149236440668754,-5.1651324301011154
7,15062,default,-1.6946033793337234,-0.851582003533654,-2.0267152186219954,-3.809046269267741,-4.956267266082758
4,217090,default,-2.75511182857622,-1.4943628873365982,-2.6543001626627554,-4.476891533682203,-5.333013596419699
8,268048,default,-1.1413661241723005,-0.5118324858708297,-1.8711161168184787,-3.836749408375101,-5.195915884410826
3,103006,default,-1.9229410063025307,-0.8915441216802139,-2.54624363224877,-4.238030428867292,-5.1180362443129646
8,226033,default,-1.2681514162875893,-0.5234684447545458,-1.8797448083635357,-3.8393201379293016,-5.176671892532037
7,108004,default,-1.1006139487808966,-0.3571978111556554,-2.012266708047814,-3.7728805375961825,-4.835964366250684
2,100099,default,-2.0354016937570605,-1.389417415578393,-2.7804209478112267,-4.285337864385639,-5.285119024443644
10,69000,default,-1.7130446086682798,-1.101422713070793,-2.737371855990119,-4.682199664160031,-5.97219271801568
9,243095,default,-1.9168321247312705,-1.164846944366667,-2.336004682808262,-4.190709152029266,-5.400558333550086
9,232076,default,-1.3266915243055366,-0.9102282786482646,-2.194843161059624,-4.107703603054153,-4.989032547496042
10,306052,default,-1.8379325927254593,-1.3573080071351757,-2.885258190714783,-4.800894144039039,-5.930702881246823
4,16068,default,-2.117301447091072,-1.1119895360889611,-2.6535339377262006,-4.41545875079843,-5.334621630580746
4,5096,default,-2.8650498308997916,-1.412717722731451,-2.7062166001412824,-4.508847379125162,-5.411229490422428
5,289011,default,-2.3723082123115034,-0.8807011915396447,-2.0962906852305885,-3.9978368481026836,-5.199875262735281
10,238025,default,-2.0667832980430902,-1.4530521632694824,-2.925096635211477,-4.82530251332094,-5.887846935682019
8,51084,default,-2.5578623824400344,-1.1205151807027773,-2.056167502142126,-3.8528871355838303,-4.92580406241587
2,317043,default,-1.3010436337622373,-1.068512947366766,-2.6124234176710366,-4.250144045131745,-5.307989261279634
6,156054,default,-1.3665237971812978,-0.6163692391556473,-2.0347878217364443,-4.133545981624242,-5.136694607034208
9,189029,default,-2.5853355886118834,-1.4704844727976853,-2.3977835620360426,-4.15113129676257,-5.228310700681006
2,107072,default,-1.6442163287924276,-0.9704013330913922,-2.5003695095829834,-4.2181351626217385,-5.123797685648194
4,368037,default,-3.1881024159095213,-1.562950468220301,-2.664564272710959,-4.441287723047534,-5.188447946433835
10,8068,default,-2.3733094608803675,-1.5396159501078728,-2.9290397096336482,-4.778225714753656,-5.883024824398501
9,372019,default,-1.8719834502901485,-1.0755170696502891,-2.284454644136544,-4.146705481401349,-5.1400090415246655
7,97010,default,-2.0062191750889555,-0.9174909078762651,-2.012576223259635,-3.8546453077241782,-4.838408355279277
10,117025,default,-2.2258802584484205,-1.688476021323293,-2.9564163186102577,-4.8399589551351125,-5.940523673659559
8,134067,default,-0.7806114321259047,-0.519121183787192,-2.023125061450778,-3.8612700198116343,-5.144415227863527
