content_style_image_pair_index,start_time_in_ms,end_time_in_ms,duration_in_ms
1,1620658292935,1620658294725,1790
2,1620658294725,1620658296304,1579
3,1620658296304,1620658297874,1570
4,1620658297874,1620658299456,1582
5,1620658299456,1620658301034,1578
6,1620658301035,1620658302634,1599
7,1620658302635,1620658304220,1585
8,1620658304221,1620658305813,1592
9,1620658305813,1620658307443,1630
10,1620658307444,1620658309032,1588
11,1620658309032,1620658310605,1573
12,1620658310605,1620658312188,1583
13,1620658312188,1620658313785,1597
14,1620658313785,1620658315366,1581
15,1620658315366,1620658316947,1581
16,1620658316947,1620658318524,1577
17,1620658318525,1620658320109,1584
18,1620658320110,1620658321689,1579
19,1620658321689,1620658323269,1580
20,1620658323269,1620658324845,1576
21,1620658324845,1620658326445,1600
22,1620658326445,1620658328024,1579
23,1620658328024,1620658329580,1556
24,1620658329580,1620658331155,1575
25,1620658331155,1620658332750,1595
26,1620658332751,1620658334319,1568
27,1620658334319,1620658335912,1593
28,1620658335912,1620658337504,1592
29,1620658337504,1620658339085,1581
30,1620658339086,1620658340677,1591
31,1620658340678,1620658342269,1591
32,1620658342270,1620658343841,1571
33,1620658343841,1620658345441,1600
34,1620658345441,1620658347027,1586
35,1620658347027,1620658348627,1600
36,1620658348627,1620658350205,1578
37,1620658350206,1620658351791,1585
38,1620658351792,1620658353401,1609
39,1620658353401,1620658354988,1587
40,1620658354988,1620658356576,1588
41,1620658356576,1620658358145,1569
42,1620658358145,1620658359727,1582
43,1620658359728,1620658361323,1595
44,1620658361324,1620658362919,1595
45,1620658362919,1620658364508,1589
46,1620658364508,1620658366093,1585
47,1620658366094,1620658367679,1585
48,1620658367680,1620658369275,1595
49,1620658369275,1620658370859,1584
50,1620658370860,1620658372451,1591
51,1620658372452,1620658374045,1593
52,1620658374046,1620658375636,1590
53,1620658375637,1620658377226,1589
54,1620658377226,1620658378827,1601
55,1620658378827,1620658380396,1569
56,1620658380397,1620658381968,1571
57,1620658381969,1620658383550,1581
58,1620658383551,1620658385134,1583
59,1620658385135,1620658386723,1588
60,1620658386724,1620658388312,1588
61,1620658388313,1620658389908,1595
62,1620658389909,1620658391493,1584
63,1620658391493,1620658393081,1588
64,1620658393082,1620658394679,1597
65,1620658394680,1620658396264,1584
66,1620658396265,1620658397856,1591
67,1620658397857,1620658399441,1584
68,1620658399442,1620658401025,1583
69,1620658401026,1620658402633,1607
70,1620658402633,1620658404213,1580
71,1620658404214,1620658405793,1579
72,1620658405794,1620658407360,1566
73,1620658407361,1620658408939,1578
74,1620658408940,1620658410541,1601
75,1620658410542,1620658412134,1592
76,1620658412134,1620658413727,1593
77,1620658413728,1620658415322,1594
78,1620658415323,1620658416920,1597
79,1620658416921,1620658418508,1587
80,1620658418509,1620658420092,1583
81,1620658420093,1620658421668,1575
82,1620658421669,1620658423245,1576
83,1620658423246,1620658424832,1586
84,1620658424833,1620658426413,1580
85,1620658426414,1620658427995,1581
86,1620658427996,1620658429570,1574
87,1620658429571,1620658431159,1588
88,1620658431160,1620658432735,1575
89,1620658432736,1620658434310,1574
90,1620658434311,1620658435917,1606
91,1620658435918,1620658437487,1569
92,1620658437488,1620658439059,1571
93,1620658439059,1620658440632,1573
94,1620658440633,1620658442219,1586
95,1620658442220,1620658443788,1568
96,1620658443788,1620658445389,1601
97,1620658445390,1620658446964,1574
98,1620658446965,1620658448563,1598
99,1620658448564,1620658450138,1574
100,1620658450139,1620658451713,1574
