weight(1=default),content,style,C
1,130066,10,0.52928
1,117025,10,0.545238
1,296028,10,0.689427
1,230063,10,0.637667
1,238025,10,0.532012
1,108036,10,0.513515
1,69000,10,0.40087
1,306052,10,0.316241
1,8068,10,0.516491
1,14092,10,0.54573
1,243095,9,0.813323
1,160067,9,0.543449
1,232076,9,0.655368
1,33044,9,0.617799
1,41006,9,0.635107
1,181021,9,0.650562
1,247012,9,0.708026
1,372019,9,0.738054
1,71099,9,0.635377
1,189029,9,0.696627
1,107072,2,0.698234
1,100099,2,0.576707
1,100039,2,0.596523
1,23050,2,0.722642
1,317043,2,0.462223
1,41085,2,0.625681
1,223060,2,0.590024
1,179084,2,0.697661
1,285022,2,0.69223
1,196088,2,0.646687
1,253016,3,0.728917
1,159002,3,0.652001
1,43051,3,0.625562
1,61034,3,0.607977
1,107014,3,0.556683
1,230098,3,0.640475
1,267036,3,0.597636
1,344010,3,0.604979
1,45000,3,0.52236
1,103006,3,0.603347
1,41096,6,0.523756
1,49024,6,0.435405
1,250047,6,0.729739
1,20069,6,0.70332
1,123057,6,0.608473
1,141048,6,0.543586
1,279005,6,0.722526
1,35049,6,0.545489
1,156054,6,0.645034
1,102062,6,0.571842
1,48025,1,0.631147
1,201080,1,0.68384
1,48017,1,0.382225
1,120093,1,0.706936
1,146074,1,0.784385
1,198087,1,0.756725
1,101084,1,0.762371
1,109055,1,0.464375
1,376086,1,0.709831
1,235098,1,0.642163
1,107045,8,0.654903
1,51084,8,0.759019
1,147080,8,0.74974
1,268048,8,0.537342
1,140088,8,0.591443
1,226033,8,0.771585
1,217013,8,0.61773
1,134067,8,0.634543
1,103078,8,0.689412
1,388006,8,0.540742
1,393035,5,0.657439
1,189006,5,0.620805
1,69022,5,0.493108
1,104010,5,0.608059
1,296058,5,0.695167
1,208078,5,0.726403
1,207038,5,0.566958
1,41029,5,0.669641
1,145059,5,0.721365
1,289011,5,0.602942
1,103029,4,0.707621
1,368037,4,0.769594
1,223004,4,0.751066
1,217090,4,0.762702
1,118031,4,0.627323
1,164046,4,0.869372
1,385022,4,0.669815
1,5096,4,0.66243
1,16068,4,0.50428
1,77062,4,0.742361
1,97010,7,0.713355
1,15062,7,0.701924
1,108004,7,0.583704
1,78098,7,0.640498
1,183066,7,0.628105
1,185092,7,0.695814
1,253092,7,0.68308
1,159022,7,0.462839
1,202000,7,0.572443
1,384089,7,0.661365
