style,content,weight,E1,E2,E3,E4,E5
3,344010,default,-1.3387965557888868,-0.6472309919292923,-1.7787245919003185,-3.2736761037458812,-4.581586192091833
6,49024,default,-1.0274445753184174,-1.0395862540850755,-2.026435095278466,-3.4907811150036494,-4.617195196758781
5,104010,default,-2.70457818642989,-0.6741223361526171,-1.6699675998809855,-3.3346305691392555,-4.881207649641078
1,201080,default,-0.32543870962255916,0.8201863701125909,-0.8661396945148893,-3.0465576180369407,-5.038044226656647
7,78098,default,0.05191078206599231,0.5373437064756931,-0.7248088497450916,-2.629537292494348,-4.413248756742508
10,14092,default,-2.3855840827957007,-1.2620414455329367,-1.9279477527073574,-3.558947988763614,-5.068676755021373
2,23050,default,-0.8913591607485131,-0.6482445169375161,-1.9122188686791706,-3.508781753950755,-4.94531221437789
5,208078,default,-2.661554396013284,-0.7620871346365744,-1.5685977966958817,-3.4229356678770095,-5.100478342470014
10,130066,default,-2.7700007998487117,-1.3490829432067932,-2.121343208652394,-3.8889279628956768,-5.109114493563443
1,101084,default,-0.7340679732428667,0.31627398988683825,-0.9474854376682756,-3.0812622162808494,-5.002169421878349
1,120093,default,-0.6644884610966223,0.5446080790940006,-0.8595741951442245,-3.0451823895995367,-5.135181571563168
1,48017,default,-0.8175518907528764,0.32156340808056616,-0.9513474820381981,-3.067985172059724,-4.9265809025378
8,147080,default,-0.360823176899279,0.6210742735033957,-0.7083845814695348,-2.91293308373156,-5.1181367905254875
5,207038,default,-2.327688317627061,-0.6648692181154648,-1.3565317233752534,-3.2037298971577,-5.044885027485498
1,198087,default,-0.5627311906043012,1.2327949505998625,-0.6280382074516583,-2.9688171921857873,-5.129625434375327
1,146074,default,-0.014280622406174892,1.1331718356508114,-0.697681248546813,-3.0270631722716552,-5.115233945817938
1,48025,default,-0.49737180442407347,0.5180423095854461,-1.0912169975238513,-3.1182560489994606,-4.790975295600988
4,385022,default,-1.2141115471853672,-0.18560768705044395,-1.5110085799090927,-3.207562947508119,-4.638214860407467
1,235098,default,-0.44580555760418605,0.42827432779447827,-0.8419298637509315,-3.0623146563662247,-4.968142091351551
6,41096,default,-0.5826484626685932,-0.15063796770458315,-1.3090270500530559,-3.153668943831224,-4.657337487491724
7,253092,default,-0.7234111316597248,0.23033818339940765,-0.948711551177135,-2.7056161067137117,-4.4139050237264925
9,71099,default,-0.6844409986068448,0.028072557978145007,-1.0947477996755506,-3.009627365193638,-4.60122846861
4,118031,default,-2.8554404259131623,-0.9162767366056285,-1.731581090383115,-3.4003815302487768,-4.665061935685242
4,77062,default,-1.6984014658314708,-0.4094658198633757,-1.6072309354989938,-3.277857404514567,-4.649735894952292
9,247012,default,-1.260356620627764,-0.19580315684197702,-1.182770506353005,-3.038438017453531,-4.73210624417461
7,183066,default,0.2550584421490009,1.076906218611107,-0.49723707589242994,-2.4718908871746588,-4.415438129572014
8,388006,default,-0.4621708276323505,0.09633037773537101,-0.8855064468150157,-2.8687039497704845,-4.76551887942617
10,296028,default,-2.5612992231884335,-1.1320914075613007,-1.8010217498274486,-3.618600623050204,-5.139381623062243
10,108036,default,-2.629138967798347,-1.673584113358054,-2.481158369410603,-4.0546210473108495,-5.046051075368244
6,141048,default,-0.6213101084393348,0.1363289377482063,-1.3336312486879325,-3.1887471534606213,-4.622312938352207
8,107045,default,0.02520985910102236,0.4345286319023795,-0.6619605998373271,-2.6855623179935044,-4.739616625184693
10,230063,default,-3.1960550102623326,-1.2060063292983143,-1.9740595085137458,-3.844054352738861,-5.266473443933827
6,20069,default,-0.4822042014380755,0.32711804193805694,-1.107117555435169,-3.0352895020344017,-4.674388219108004
6,35049,default,-0.987905946884814,-0.692846206321433,-1.9120894896491007,-3.524606779442748,-4.585912930541381
5,69022,default,-2.1791156069162656,-0.549121299889476,-1.4067063364775376,-3.179754225607907,-4.9435829993492435
3,253016,default,-0.597143635901057,0.15295971116554374,-1.3771916984367572,-3.1086281983103348,-4.587062793742024
8,217013,default,-0.6544737433707685,-0.6591592415800481,-1.579968848707248,-3.2495256416176788,-4.915715915325061
9,33044,default,-0.3581692017184738,0.5157350186318836,-0.7890729152996531,-2.8309191718121207,-4.58103744972068
3,61034,default,-1.3654810334366507,-0.16297826106115554,-1.6151457001962184,-3.2511042604986016,-4.562902193332927
7,159022,default,-1.4014021073659766,-0.6796225883521251,-1.6490101830457777,-3.0817090414918717,-4.345908213264924
3,230098,default,-0.3993849184578674,0.1569100159581197,-1.3104160906121298,-3.011464494297014,-4.538931630013315
6,279005,default,-0.8826385472696568,-0.7355260946233594,-1.8634868821862747,-3.497811417014983,-4.64370120067302
6,102062,default,-0.4488059765504252,0.01823065551705283,-1.4217012151304362,-3.261445688253145,-4.676056240253208
9,41006,default,-1.1293997069195858,-0.2733309843422602,-1.2251183092623457,-3.0429330805620682,-4.649108412995446
3,159002,default,-1.4974331908458676,-0.6255603665139756,-1.812035803055403,-3.3632488659973596,-4.561051738373837
5,189006,default,-2.5116275088720625,-1.1699522253678354,-1.7932183036594793,-3.4042368900644053,-5.104193485306296
9,160067,default,-0.9544369619222967,0.029711557515796683,-1.0512264843172314,-2.9900629532647502,-4.735833634894373
7,15062,default,0.12380616098746833,0.40705390576497896,-0.6126531651432016,-2.522158952744508,-4.606679113969529
4,217090,default,-3.264741156407379,-1.220696720931811,-1.844861275629797,-3.4910885356348844,-4.69844246912297
8,268048,default,-0.5171880532393184,-0.012389184257582175,-0.9530338318446626,-2.945237487996843,-4.8314489692995854
3,103006,default,-1.2588012580203314,0.004604657883375829,-1.3892907304148148,-3.0546381153329767,-4.576700346566188
8,226033,default,0.0852243422515474,0.690692011996858,-0.5656775670938187,-2.7598506743028164,-4.927457317081141
7,108004,default,-1.0884008438351374,0.14302824552615745,-0.9901381577707186,-2.73277003956067,-4.325890011899847
2,100099,default,-0.5593211783878115,0.14952300288998532,-1.072104960373251,-2.9334491772068,-4.692787178515338
10,69000,default,-2.6109237440249813,-1.60342979991113,-2.382596651712093,-4.025717962311264,-5.216218526688883
9,243095,default,-0.4399093766898331,0.3433611559352711,-0.933968457881187,-2.9459329854925436,-4.995646975116145
9,232076,default,-0.6966953788919413,-0.028933019276093708,-0.9250505535801087,-2.9177172668996145,-4.723406355861443
10,306052,default,-2.8504703193232466,-1.6070376160039395,-2.390485648042263,-3.930478652054429,-5.05633735996579
4,16068,default,-1.6647139291296962,-0.6030889699977583,-1.7958336902851197,-3.4203720880730444,-4.725627504938408
4,5096,default,-2.8278603242671596,-0.9361533289945011,-1.8744919296944316,-3.4508740093701666,-4.684822014014394
5,289011,default,-3.2240279873812203,-1.242766465626353,-2.2833177027368228,-3.583292242921276,-4.829124495203936
10,238025,default,-2.2969605435193774,-1.2175893884581854,-2.0510995268377283,-3.7981995734255642,-5.191364502687018
8,51084,default,-0.4192721343158855,-0.09574471296825848,-0.9970037542523832,-2.9398474135866195,-4.823022171833698
2,317043,default,-0.3745817357154525,-0.05620955250432358,-1.3887208925801873,-3.1552078810890665,-4.629694037483909
6,156054,default,-0.9006690390532929,-0.11974123574216766,-1.453240480578648,-3.262123036266386,-4.6497231071405025
9,189029,default,-0.7112363100170013,0.4738264347534167,-0.9232372642768646,-2.9524834106232447,-4.799274421304971
2,107072,default,0.06923716168984728,0.56576055444341,-0.9452756383058244,-2.9687170964239145,-4.710397020473591
4,368037,default,-1.475547567312696,-0.3679792091539983,-1.5751859247629145,-3.3783010508188687,-4.840704688063406
10,8068,default,-2.573108110702026,-1.94595653742289,-2.7429000521182894,-4.219861203416426,-5.212031802565297
9,372019,default,-1.095245073001358,-0.21036951239132384,-1.3531777508714975,-3.1803133663160326,-4.862002759783111
7,97010,default,-1.0559167560567415,0.5101601582127231,-0.8318485037318027,-2.696292223696926,-4.4193231166423805
10,117025,default,-2.9315092353307777,-1.4872551475211324,-2.258130400037837,-3.929525260225753,-5.122828197182438
8,134067,default,-0.36490204816968685,-0.04733035780070716,-0.9375143802943943,-2.8747620088084798,-4.736365455028336
7,202000,default,-0.1095289879745136,0.5113076285634892,-0.8958629199196028,-2.610109628011676,-4.3167581019135675
