content_style_image_pair_index,start_time_in_ms,end_time_in_ms,duration_in_ms
1,1620658961918,1620659026630,64712
2,1620659026630,1620659088414,61784
3,1620659088414,1620659153019,64605
4,1620659153019,1620659214862,61843
5,1620659214862,1620659276812,61950
6,1620659276813,1620659341503,64690
7,1620659341503,1620659406154,64651
8,1620659406154,1620659470746,64592
9,1620659470746,1620659535376,64630
10,1620659535377,1620659600158,64781
11,1620659600158,1620659662187,62029
12,1620659662187,1620659726964,64777
13,1620659726964,1620659791786,64822
14,1620659791786,1620659853829,62043
15,1620659853829,1620659918427,64598
16,1620659918427,1620659980398,61971
17,1620659980398,1620660044826,64428
18,1620660044826,1620660106853,62027
19,1620660106853,1620660171525,64672
20,1620660171525,1620660233530,62005
21,1620660233531,1620660298219,64688
22,1620660298219,1620660362882,64663
23,1620660362883,1620660427597,64714
24,1620660427597,1620660489544,61947
25,1620660489544,1620660554235,64691
26,1620660554235,1620660618861,64626
27,1620660618861,1620660683572,64711
28,1620660683572,1620660748170,64598
29,1620660748171,1620660813358,65187
30,1620660813358,1620660877800,64442
31,1620660877800,1620660942230,64430
32,1620660942230,1620661003917,61687
33,1620661003917,1620661068350,64433
34,1620661068350,1620661130080,61730
35,1620661130080,1620661194435,64355
36,1620661194435,1620661256239,61804
37,1620661256239,1620661318027,61788
38,1620661318027,1620661382429,64402
39,1620661382429,1620661446935,64506
40,1620661446935,1620661511457,64522
41,1620661511457,1620661575921,64464
42,1620661575921,1620661640381,64460
43,1620661640381,1620661702183,61802
44,1620661702183,1620661763982,61799
45,1620661763982,1620661828464,64482
46,1620661828465,1620661892939,64474
47,1620661892939,1620661954898,61959
48,1620661954898,1620662020648,65750
49,1620662020648,1620662082605,61957
50,1620662082605,1620662147262,64657
51,1620662147262,1620662211986,64724
52,1620662211986,1620662276622,64636
53,1620662276622,1620662341291,64669
54,1620662341291,1620662405885,64594
55,1620662405885,1620662470582,64697
56,1620662470582,1620662532520,61938
57,1620662532520,1620662594531,62011
58,1620662594531,1620662659163,64632
59,1620662659163,1620662723862,64699
60,1620662723862,1620662788579,64717
61,1620662788579,1620662853174,64595
62,1620662853174,1620662917786,64612
63,1620662917786,1620662982487,64701
64,1620662982487,1620663047174,64687
65,1620663047175,1620663109177,62002
66,1620663109177,1620663173791,64614
67,1620663173791,1620663235797,62006
68,1620663235798,1620663297750,61952
69,1620663297751,1620663362345,64594
70,1620663362345,1620663424268,61923
71,1620663424268,1620663489007,64739
72,1620663489007,1620663551049,62042
73,1620663551049,1620663615641,64592
74,1620663615641,1620663677600,61959
75,1620663677600,1620663742286,64686
76,1620663742286,1620663807766,65480
77,1620663807766,1620663872172,64406
78,1620663872172,1620663936587,64415
79,1620663936587,1620664001029,64442
80,1620664001029,1620664062819,61790
81,1620664062819,1620664127348,64529
82,1620664127348,1620664191712,64364
83,1620664191712,1620664253594,61882
84,1620664253594,1620664318060,64466
85,1620664318060,1620664382424,64364
86,1620664382424,1620664444230,61806
87,1620664444230,1620664508644,64414
88,1620664508645,1620664573055,64410
89,1620664573055,1620664637614,64559
90,1620664637614,1620664702310,64696
91,1620664702310,1620664766947,64637
92,1620664766947,1620664831697,64750
93,1620664831697,1620664896497,64800
94,1620664896497,1620664961291,64794
95,1620664961291,1620665026087,64796
96,1620665026087,1620665090795,64708
97,1620665090795,1620665152934,62139
98,1620665152934,1620665217717,64783
99,1620665217717,1620665280328,62611
100,1620665280329,1620665342386,62057
