weight(1=default),content,style,C
1,130066,10,0.46149
1,117025,10,0.402069
1,296028,10,0.533782
1,230063,10,0.632733
1,238025,10,0.435721
1,108036,10,0.470714
1,69000,10,0.487703
1,306052,10,0.365623
1,8068,10,0.524856
1,14092,10,0.439389
1,243095,9,0.678033
1,160067,9,0.506727
1,232076,9,0.415779
1,33044,9,0.537454
1,41006,9,0.532374
1,181021,9,0.556825
1,247012,9,0.624759
1,372019,9,0.605885
1,71099,9,0.584897
1,189029,9,0.596147
1,107072,2,0.631489
1,100099,2,0.479134
1,100039,2,0.500567
1,23050,2,0.705805
1,317043,2,0.530617
1,41085,2,0.493979
1,223060,2,0.530517
1,179084,2,0.686318
1,285022,2,0.66851
1,196088,2,0.574458
1,253016,3,0.659419
1,159002,3,0.536083
1,43051,3,0.390702
1,61034,3,0.582385
1,107014,3,0.489828
1,230098,3,0.600168
1,267036,3,0.572097
1,344010,3,0.55188
1,45000,3,0.528762
1,103006,3,0.52323
1,41096,6,0.421109
1,49024,6,0.390785
1,250047,6,0.599922
1,20069,6,0.579604
1,123057,6,0.575537
1,141048,6,0.58853
1,279005,6,0.605752
1,35049,6,0.558843
1,156054,6,0.537928
1,102062,6,0.494318
1,48025,1,0.516074
1,201080,1,0.533275
1,48017,1,0.310738
1,120093,1,0.617791
1,146074,1,0.697003
1,198087,1,0.624701
1,101084,1,0.572413
1,109055,1,0.395917
1,376086,1,0.582605
1,235098,1,0.5378
1,107045,8,0.554826
1,51084,8,0.542136
1,147080,8,0.541875
1,268048,8,0.373065
1,140088,8,0.543944
1,226033,8,0.543325
1,217013,8,0.510676
1,134067,8,0.51986
1,103078,8,0.604499
1,388006,8,0.411903
1,393035,5,0.627937
1,189006,5,0.574388
1,69022,5,0.508225
1,104010,5,0.596327
1,296058,5,0.650959
1,208078,5,0.527209
1,207038,5,0.543011
1,41029,5,0.61582
1,145059,5,0.623006
1,289011,5,0.567555
1,103029,4,0.603054
1,368037,4,0.611914
1,223004,4,0.605301
1,217090,4,0.599805
1,118031,4,0.581986
1,164046,4,0.652048
1,385022,4,0.62948
1,5096,4,0.567121
1,16068,4,0.52964
1,77062,4,0.591136
1,97010,7,0.639094
1,15062,7,0.482049
1,108004,7,0.554051
1,78098,7,0.550106
1,183066,7,0.540818
1,185092,7,0.694913
1,253092,7,0.600291
1,159022,7,0.408754
1,202000,7,0.574946
1,384089,7,0.582985
