style,content,weight,E1,E2,E3,E4,E5
3,344010,default,-0.33037952568426887,-0.33299824501949404,-2.4476343013159974,-4.307848190841063,-5.138205009712453
6,49024,default,-0.6155229694468928,-0.49419873769359646,-2.6871765859600805,-4.544103556472186,-5.204855694066385
5,104010,default,-0.8057353009639613,-0.5357596031288557,-2.708246066623896,-4.334202229871213,-5.273242168330898
1,201080,default,-0.7021068144776464,-0.6564247507659792,-2.6759681493379768,-4.410797814277468,-5.261968738462224
7,78098,default,-0.2554882052589692,-0.3771804649483116,-2.609967576070737,-4.262529030654203,-4.89498097518176
10,14092,default,-1.549011953280536,-1.249434852166551,-3.0381879521877297,-5.005349877929404,-5.806117609286959
2,23050,default,-0.9065560737987571,-0.8748388556844636,-2.8808390219030287,-4.3558148527193294,-5.011438610445296
5,208078,default,-0.8254735374354013,-0.5277539783290383,-2.698314072439375,-4.377211773829822,-5.410441875287555
10,130066,default,-1.674849364810398,-1.2884811655264077,-2.8947189707368994,-4.773527107677358,-5.496412070505936
1,101084,default,-0.7139700856918078,-0.6141381076493057,-2.669428150064283,-4.433144065442119,-5.387860169456551
1,120093,default,-0.647403745990433,-0.5905034661183545,-2.6414316441114893,-4.431769652907247,-5.305244152293258
1,48017,default,-0.7015463870378517,-0.6483374334470186,-2.679967679519869,-4.439258738829042,-5.238057393993963
8,147080,default,-0.3433429250859502,-0.397710275533779,-2.9407699085579706,-4.388423968745523,-5.053035272680854
5,207038,default,-0.8188691905166513,-0.5226646074288598,-2.6784581792893296,-4.2520061679130805,-5.261201680760796
1,198087,default,-0.7064249807178166,-0.5775597100409481,-2.635256313316633,-4.410921754532564,-5.385931484689657
1,146074,default,-0.6411804124287711,-0.5959528495902021,-2.57786740447683,-4.3792959764578425,-5.234055459167582
1,48025,default,-0.7637411193330371,-0.6748509959051742,-2.6850325187779935,-4.363756219052901,-5.175310713035918
4,385022,default,-1.141171398102982,-0.9658018636390276,-2.8940640502242463,-4.664044543464632,-5.282289095151743
1,235098,default,-0.6613973670610668,-0.6175319967238665,-2.6974540926139947,-4.450934644619521,-5.375148540599049
6,41096,default,-0.6580022324263953,-0.48720556466350307,-2.658373967151222,-4.559413806350367,-5.292793908181927
7,253092,default,-0.2629647591121568,-0.40762745031278513,-2.62943953806381,-4.21160753355968,-4.923937914490633
9,71099,default,-0.9197429085300804,-0.9300513150070563,-2.6170102373995885,-4.158733935828568,-4.9659174180961845
4,118031,default,-1.0131659122581413,-0.8448866556407498,-2.755956812085718,-4.607608347273173,-5.262695545278929
4,77062,default,-1.0098868177816098,-0.9829395623642257,-2.9542664062002286,-4.741563095902155,-5.27759702072298
9,247012,default,-0.8357386224585107,-0.8826909561380162,-2.5981129472073428,-4.15762382629809,-4.9450564540469015
7,183066,default,-0.24626198512733044,-0.4284724032601569,-2.6698704041375336,-4.2593043715141965,-4.938326048171457
