content_style_image_pair_index,start_time_in_ms,end_time_in_ms,duration_in_ms
1,1620658515967,1620658519930,3963
2,1620658519930,1620658523297,3367
3,1620658523298,1620658526720,3422
4,1620658526721,1620658530071,3350
5,1620658530072,1620658533476,3404
6,1620658533477,1620658536884,3407
7,1620658536884,1620658540301,3417
8,1620658540301,1620658543723,3422
9,1620658543724,1620658547109,3385
10,1620658547110,1620658550492,3382
11,1620658550493,1620658553891,3398
12,1620658553892,1620658557268,3376
13,1620658557269,1620658560734,3465
14,1620658560735,1620658564091,3356
15,1620658564092,1620658567510,3418
16,1620658567511,1620658570870,3359
17,1620658570870,1620658574296,3426
18,1620658574297,1620658577710,3413
19,1620658577711,1620658581118,3407
20,1620658581119,1620658584468,3349
21,1620658584469,1620658587900,3431
22,1620658587901,1620658591316,3415
23,1620658591317,1620658594706,3389
24,1620658594707,1620658598136,3429
25,1620658598137,1620658601535,3398
26,1620658601536,1620658604929,3393
27,1620658604930,1620658608349,3419
28,1620658608350,1620658611793,3443
29,1620658611794,1620658615183,3389
30,1620658615184,1620658618541,3357
31,1620658618542,1620658621950,3408
32,1620658621950,1620658625356,3406
33,1620658625357,1620658628736,3379
34,1620658628737,1620658632097,3360
35,1620658632098,1620658635483,3385
36,1620658635484,1620658638863,3379
37,1620658638865,1620658642236,3371
38,1620658642236,1620658645637,3401
39,1620658645637,1620658649033,3396
40,1620658649034,1620658652485,3451
41,1620658652486,1620658655908,3422
42,1620658655909,1620658659349,3440
43,1620658659350,1620658662774,3424
44,1620658662775,1620658666214,3439
45,1620658666215,1620658669665,3450
46,1620658669666,1620658673061,3395
47,1620658673062,1620658676449,3387
48,1620658676450,1620658679842,3392
49,1620658679843,1620658683254,3411
50,1620658683255,1620658686652,3397
51,1620658686653,1620658690031,3378
52,1620658690033,1620658693422,3389
53,1620658693423,1620658696821,3398
54,1620658696822,1620658700208,3386
55,1620658700209,1620658703608,3399
56,1620658703609,1620658706995,3386
57,1620658706996,1620658710441,3445
58,1620658710442,1620658713885,3443
59,1620658713886,1620658717254,3368
60,1620658717255,1620658720644,3389
61,1620658720645,1620658724078,3433
62,1620658724079,1620658727488,3409
63,1620658727489,1620658730924,3435
64,1620658730925,1620658734347,3422
65,1620658734348,1620658737730,3382
66,1620658737731,1620658741166,3435
67,1620658741168,1620658744555,3387
68,1620658744556,1620658747965,3409
69,1620658747966,1620658751350,3384
70,1620658751351,1620658754750,3399
71,1620658754752,1620658758171,3419
72,1620658758172,1620658761565,3393
73,1620658761567,1620658764957,3390
74,1620658764958,1620658768425,3467
75,1620658768427,1620658771841,3414
76,1620658771843,1620658775242,3399
77,1620658775243,1620658778664,3421
78,1620658778665,1620658782095,3430
79,1620658782097,1620658785490,3393
80,1620658785491,1620658788902,3411
81,1620658788903,1620658792344,3441
82,1620658792345,1620658795770,3425
83,1620658795771,1620658799156,3385
84,1620658799157,1620658802590,3433
85,1620658802591,1620658805994,3403
86,1620658805996,1620658809382,3386
87,1620658809383,1620658812781,3398
88,1620658812782,1620658816180,3398
89,1620658816181,1620658819573,3392
90,1620658819574,1620658823019,3445
91,1620658823020,1620658826408,3388
92,1620658826409,1620658829833,3424
93,1620658829835,1620658833268,3433
94,1620658833269,1620658836655,3386
95,1620658836657,1620658840076,3419
96,1620658840077,1620658843479,3402
97,1620658843480,1620658846898,3418
98,1620658846899,1620658850347,3448
99,1620658850348,1620658853750,3402
100,1620658853751,1620658857185,3434
