style,content,weight,E1,E2,E3,E4,E5
3,344010,default,-0.36439108498304995,-1.2680449514780672,-2.8791590612004025,-3.9414612670821407,-3.8443787856565415
6,49024,default,-0.46453942514213253,-1.271307796228125,-2.986769652081936,-4.293267631829957,-4.1596672102299745
5,104010,default,-1.0185562706507154,-1.397448944690983,-3.4340613114626475,-4.344071994025814,-4.1743595469325765
1,201080,default,-0.5858459041817142,-1.276798719095947,-2.9356306366121103,-4.16814068875124,-4.028691006721181
7,78098,default,-0.9041287301429125,-1.3738353966873111,-3.586685416789023,-4.3505255902923485,-3.963539610146202
10,14092,default,-0.5554054352189829,-1.4681876637142035,-3.084707883690047,-4.344921613231664,-4.437857703699193
2,23050,default,-0.47052002229293566,-1.4347040021285986,-3.16866343284731,-4.1966523942329275,-4.016265230741511
5,208078,default,-1.0140336236007648,-1.3508954963200335,-3.4092439412767463,-4.298665166718921,-4.14895256884289
10,130066,default,-0.5554054352189829,-1.4681876637142035,-3.084707883690047,-4.344921613231664,-4.437857703699193
1,101084,default,-0.55030625231928,-1.3150707145250689,-3.0565047151832796,-4.344651084767064,-4.251533123371389
1,120093,default,-0.5858459041817142,-1.276798719095947,-2.9356306366121103,-4.16814068875124,-4.028691006721181
1,48017,default,-0.5858459041817142,-1.276798719095947,-2.9356306366121103,-4.16814068875124,-4.028691006721181
8,147080,default,-0.8421297711628509,-1.348364029294086,-3.537222072849124,-4.180677803187122,-4.04073694386758
5,207038,default,-1.0140336236007648,-1.3508954963200335,-3.4092439412767463,-4.298665166718921,-4.14895256884289
1,198087,default,-0.55030625231928,-1.3150707145250689,-3.0565047151832796,-4.344651084767064,-4.251533123371389
1,146074,default,-0.5858459041817142,-1.276798719095947,-2.9356306366121103,-4.16814068875124,-4.028691006721181
1,48025,default,-0.5858459041817142,-1.276798719095947,-2.9356306366121103,-4.16814068875124,-4.028691006721181
4,385022,default,-0.780949692998279,-1.3363557810477267,-3.209129270019481,-4.337304827687225,-3.9969128542623924
1,235098,default,-0.5858459041817142,-1.276798719095947,-2.9356306366121103,-4.16814068875124,-4.028691006721181
6,41096,default,-0.46453942514213253,-1.271307796228125,-2.986769652081936,-4.293267631829957,-4.1596672102299745
7,253092,default,-0.8916980952661763,-1.4150454269251886,-3.602614300206411,-4.322960933784383,-3.953614811599591
9,71099,default,-0.7467873351301849,-1.3719203636150432,-3.3346610505295358,-4.237064817395924,-4.014116026426239
4,118031,default,-0.780949692998279,-1.3363557810477267,-3.209129270019481,-4.337304827687225,-3.9969128542623924
4,77062,default,-0.780949692998279,-1.3363557810477267,-3.209129270019481,-4.337304827687225,-3.9969128542623924
9,247012,default,-0.7467873351301849,-1.3719203636150432,-3.3346610505295358,-4.237064817395924,-4.014116026426239
7,183066,default,-0.9041287301429125,-1.3738353966873111,-3.586685416789023,-4.3505255902923485,-3.963539610146202
8,388006,default,-0.7452155789374993,-1.3863792345322006,-3.740840819721984,-4.359758716519624,-4.20540325985936
10,296028,default,-0.5554054352189829,-1.4681876637142035,-3.084707883690047,-4.344921613231664,-4.437857703699193
10,108036,default,-0.5554054352189829,-1.4681876637142035,-3.084707883690047,-4.344921613231664,-4.437857703699193
6,141048,default,-0.46453942514213253,-1.271307796228125,-2.986769652081936,-4.293267631829957,-4.1596672102299745
8,107045,default,-0.8421297711628509,-1.348364029294086,-3.537222072849124,-4.180677803187122,-4.04073694386758
