content_style_image_pair_index,start_time_in_ms,end_time_in_ms,duration_in_ms
1,1620936679808,1620936679811,3
2,1620936679811,1620936679812,1
3,1620936679812,1620936679814,2
4,1620936679814,1620936679816,2
5,1620936679816,1620936679817,1
6,1620936679817,1620936679819,2
7,1620936679819,1620936679820,1
8,1620936679820,1620936679822,2
9,1620936679822,1620936679823,1
10,1620936679823,1620936679824,1
11,1620936679824,1620936679826,2
12,1620936679826,1620936679828,2
13,1620936679828,1620936679829,1
14,1620936679829,1620936679830,1
15,1620936679830,1620936679834,4
16,1620936679834,1620936679836,2
17,1620936679836,1620936679837,1
18,1620936679838,1620936679839,1
19,1620936679839,1620936679843,4
20,1620936679843,1620936679844,1
21,1620936679844,1620936679846,2
22,1620936679846,1620936679847,1
23,1620936679847,1620936679848,1
24,1620936679848,1620936679850,2
25,1620936679850,1620936679851,1
26,1620936679851,1620936679852,1
27,1620936679853,1620936679854,1
28,1620936679854,1620936679855,1
29,1620936679855,1620936679856,1
30,1620936679856,1620936679858,2
31,1620936679858,1620936679859,1
32,1620936679859,1620936679860,1
33,1620936679860,1620936679862,2
34,1620936679862,1620936679863,1
35,1620936679863,1620936679864,1
36,1620936679864,1620936679866,2
37,1620936679866,1620936679867,1
38,1620936679867,1620936679869,2
39,1620936679869,1620936679870,1
40,1620936679870,1620936679872,2
41,1620936679872,1620936679874,2
42,1620936679874,1620936679875,1
43,1620936679875,1620936679877,2
44,1620936679877,1620936679878,1
45,1620936679878,1620936679879,1
46,1620936679879,1620936679881,2
47,1620936679881,1620936679882,1
48,1620936679882,1620936679883,1
49,1620936679883,1620936679885,2
50,1620936679885,1620936679886,1
51,1620936679887,1620936679888,1
52,1620936679888,1620936679889,1
53,1620936679890,1620936679891,1
54,1620936679891,1620936679892,1
55,1620936679892,1620936679894,2
56,1620936679894,1620936679895,1
57,1620936679895,1620936679896,1
58,1620936679896,1620936679898,2
59,1620936679898,1620936679899,1
60,1620936679899,1620936679901,2
61,1620936679901,1620936679902,1
62,1620936679903,1620936679904,1
63,1620936679904,1620936679905,1
64,1620936679906,1620936679907,1
65,1620936679907,1620936679908,1
66,1620936679908,1620936679909,1
67,1620936679910,1620936679911,1
68,1620936679911,1620936679912,1
69,1620936679912,1620936679914,2
70,1620936679914,1620936679916,2
71,1620936679916,1620936679918,2
72,1620936679918,1620936679919,1
73,1620936679920,1620936679921,1
74,1620936679921,1620936679922,1
75,1620936679922,1620936679924,2
76,1620936679924,1620936679925,1
77,1620936679925,1620936679926,1
78,1620936679926,1620936679928,2
79,1620936679928,1620936679929,1
80,1620936679929,1620936679930,1
81,1620936679931,1620936679932,1
82,1620936679932,1620936679933,1
83,1620936679934,1620936679935,1
84,1620936679935,1620936679937,2
85,1620936679937,1620936679938,1
86,1620936679938,1620936679939,1
87,1620936679939,1620936679941,2
88,1620936679941,1620936679942,1
89,1620936679942,1620936679943,1
90,1620936679944,1620936679945,1
91,1620936679945,1620936679946,1
92,1620936679946,1620936679948,2
93,1620936679948,1620936679949,1
94,1620936679949,1620936679951,2
95,1620936679951,1620936679952,1
96,1620936679952,1620936679953,1
97,1620936679953,1620936679955,2
98,1620936679955,1620936679956,1
99,1620936679956,1620936679957,1
100,1620936679957,1620936679959,2
